plot_id,species,spp_code,dbh_cm,top_kill,full_kill
51,Acacia dealbata,ACADEA,18.8,1,1
51,Acacia dealbata,ACADEA,20.2,1,1
51,Acacia dealbata,ACADEA,20.9,1,1
51,Acacia dealbata,ACADEA,22.4,1,1
51,Acacia dealbata,ACADEA,23.4,1,1
51,Acacia dealbata,ACADEA,25.1,1,1
51,Acacia dealbata,ACADEA,26.9,1,1
51,Acacia dealbata,ACADEA,31.2,1,1
51,Acacia frigescens,ACAFRI,12.1,1,1
51,Acacia frigescens,ACAFRI,12.4,1,1
51,Acacia frigescens,ACAFRI,15.1,1,1
51,Acacia frigescens,ACAFRI,16.1,1,1
51,Acacia frigescens,ACAFRI,23.2,1,1
51,Acacia frigescens,ACAFRI,26.7,1,1
51,Acacia frigescens,ACAFRI,28.1,1,1
51,Eucalyptus delegatensis,EUCDEL,17.5,1,1
51,Eucalyptus delegatensis,EUCDEL,18,1,1
51,Eucalyptus delegatensis,EUCDEL,19.9,1,1
51,Eucalyptus delegatensis,EUCDEL,20,1,1
51,Eucalyptus delegatensis,EUCDEL,21.3,1,1
51,Eucalyptus delegatensis,EUCDEL,21.6,1,1
51,Eucalyptus delegatensis,EUCDEL,31.1,1,1
51,Eucalyptus delegatensis,EUCDEL,44,1,1
51,Eucalyptus delegatensis,EUCDEL,65.4,1,1
51,Eucalyptus delegatensis,EUCDEL,66,1,1
51,Eucalyptus delegatensis,EUCDEL,70.6,1,1
51,Eucalyptus delegatensis,EUCDEL,73,1,1
51,Eucalyptus delegatensis,EUCDEL,79,1,1
51,Eucalyptus delegatensis,EUCDEL,79.2,1,1
51,Eucalyptus delegatensis,EUCDEL,96.8,1,1
51,Eucalyptus delegatensis,EUCDEL,100.5,1,1
51,Eucalyptus delegatensis,EUCDEL,102.7,1,1
51,Eucalyptus delegatensis,EUCDEL,104.5,1,1
52,Acacia dealbata,ACADEA,10.4,1,1
52,Acacia dealbata,ACADEA,12,1,1
52,Acacia dealbata,ACADEA,12.1,1,1
52,Acacia dealbata,ACADEA,13.3,1,1
52,Acacia dealbata,ACADEA,14.1,1,1
52,Acacia dealbata,ACADEA,14.8,1,1
52,Acacia dealbata,ACADEA,15,1,1
52,Acacia dealbata,ACADEA,15.9,1,1
52,Acacia dealbata,ACADEA,15.9,1,1
52,Acacia dealbata,ACADEA,16.5,1,1
52,Acacia dealbata,ACADEA,18.1,1,1
52,Acacia dealbata,ACADEA,18.9,1,1
52,Acacia dealbata,ACADEA,20.2,1,1
52,Acacia dealbata,ACADEA,22.6,1,1
52,Acacia dealbata,ACADEA,23.3,1,1
52,Acacia dealbata,ACADEA,28.1,1,1
52,Acacia frigescens,ACAFRI,14.9,1,1
52,Acacia frigescens,ACAFRI,17.7,1,1
52,Acacia frigescens,ACAFRI,29.4,1,1
52,Eucalyptus delegatensis,EUCDEL,13,1,1
52,Eucalyptus delegatensis,EUCDEL,15.6,1,1
52,Eucalyptus delegatensis,EUCDEL,16.9,1,1
52,Eucalyptus delegatensis,EUCDEL,18.2,1,1
52,Eucalyptus delegatensis,EUCDEL,18.8,1,1
52,Eucalyptus delegatensis,EUCDEL,19.4,1,1
52,Eucalyptus delegatensis,EUCDEL,21.2,1,1
52,Eucalyptus delegatensis,EUCDEL,22.7,1,1
52,Eucalyptus delegatensis,EUCDEL,22.7,1,1
52,Eucalyptus delegatensis,EUCDEL,22.9,1,1
52,Eucalyptus delegatensis,EUCDEL,23.8,1,1
52,Eucalyptus delegatensis,EUCDEL,24.3,1,1
52,Eucalyptus delegatensis,EUCDEL,24.7,1,1
52,Eucalyptus delegatensis,EUCDEL,28.1,1,1
52,Eucalyptus delegatensis,EUCDEL,30.8,1,1
52,Eucalyptus delegatensis,EUCDEL,31.9,1,1
52,Eucalyptus delegatensis,EUCDEL,33.1,1,1
52,Eucalyptus delegatensis,EUCDEL,35.8,1,1
52,Eucalyptus delegatensis,EUCDEL,49.3,1,1
52,Eucalyptus delegatensis,EUCDEL,50.3,1,1
52,Eucalyptus delegatensis,EUCDEL,53.2,1,1
52,Eucalyptus delegatensis,EUCDEL,56.6,1,1
52,Eucalyptus delegatensis,EUCDEL,61.1,1,1
52,Eucalyptus delegatensis,EUCDEL,66,1,1
52,Eucalyptus delegatensis,EUCDEL,66.4,1,1
52,Eucalyptus delegatensis,EUCDEL,70.2,1,1
52,Eucalyptus delegatensis,EUCDEL,75,1,1
52,Eucalyptus delegatensis,EUCDEL,78.2,1,1
52,Eucalyptus delegatensis,EUCDEL,78.2,1,1
52,Eucalyptus delegatensis,EUCDEL,80.6,1,1
52,Eucalyptus delegatensis,EUCDEL,82.3,1,1
52,Eucalyptus delegatensis,EUCDEL,110.4,1,1
52,Eucalyptus delegatensis,EUCDEL,116.2,1,1
53,Acacia dealbata,ACADEA,13.1,1,1
53,Acacia dealbata,ACADEA,18.7,1,1
53,Acacia dealbata,ACADEA,22,1,1
53,Acacia dealbata,ACADEA,24.1,1,1
53,Acacia dealbata,ACADEA,26.4,1,1
53,Acacia dealbata,ACADEA,27.9,1,1
53,Acacia dealbata,ACADEA,29.6,1,1
53,Eucalyptus delegatensis,EUCDEL,15.8,1,1
53,Eucalyptus delegatensis,EUCDEL,17.3,1,1
53,Eucalyptus delegatensis,EUCDEL,20.3,1,1
53,Eucalyptus delegatensis,EUCDEL,20.9,1,1
53,Eucalyptus delegatensis,EUCDEL,30.8,1,1
53,Eucalyptus delegatensis,EUCDEL,31.1,1,1
53,Eucalyptus delegatensis,EUCDEL,66.4,1,1
53,Eucalyptus delegatensis,EUCDEL,66.5,1,1
53,Eucalyptus delegatensis,EUCDEL,71.9,1,1
53,Eucalyptus delegatensis,EUCDEL,81.3,1,1
53,Eucalyptus delegatensis,EUCDEL,82.1,1,1
53,Eucalyptus delegatensis,EUCDEL,85.4,1,1
53,Eucalyptus delegatensis,EUCDEL,98.9,1,1
53,Eucalyptus delegatensis,EUCDEL,99.6,1,1
53,Eucalyptus delegatensis,EUCDEL,102.5,1,1
53,Eucalyptus delegatensis,EUCDEL,109,1,1
53,Eucalyptus delegatensis,EUCDEL,111.8,1,1
53,Eucalyptus delegatensis,EUCDEL,116,1,1
53,Eucalyptus delegatensis,EUCDEL,126.4,1,1
53,Eucalyptus delegatensis,EUCDEL,128,1,1
